tpsgenD89.VP;tpsgenD89.TC;id_menage;id_personne;id_chaine;Id_boucle;coep;D7_residence;nbactif;nbpers+18ans;taille_menage;nombre_VP;motorisation;habitat;occupation_logement;occupation;niveau_etudes;permis;abonnementTC;age;age0-17;age18-25;age26-35;age36-45;age46-59;age60+;sexe;D7_origine;D7_destination;Densite89;motif_ori;motif_dest;Premier_mode;tps_gen_VP_D89;tps_gen_TC_D89;lnage18
29,141;43,92483333;10202200;10202202;1020220212;102022021;86,56719;1;1;2;4;1;0,5;4;3;2;5;1;2;49;0;0;0;0;1;0;2;2;1;56,63406921;TRAVAIL;DOMI;VP;29,141;43,92483333;3,465735903
75,07304333;39,30416667;10203500;10203501;1020350122;102035012;64,38962;1;1;2;2;0;0;4;3;1;5;2;2;36;0;0;0;1;0;0;2;3;1;34,5114726;TRAVAIL;DOMI;TC;75,07304333;39,30416667;2,944438979
19,41416667;26,59583333;10203600;10203602;1020360212;102036021;65,42272;1;2;2;3;0;0;4;3;2;6;1;2;52;0;0;0;0;1;0;2;2;1;95,05579498;TRAVAIL;DOMI;TC;19,41416667;26,59583333;3,555348061
26,60533333;38,05866667;10205400;10205401;1020540122;102054012;54,06731;1;0;2;2;0;0;4;4;4;0;1;3;23;0;1;0;0;0;0;1;2;1;490,2529794;TRAVAIL;DOMI;TC;26,60533333;38,05866667;1,791759469
26,119;28,37816667;10205700;10205701;1020570112;102057011;64,38962;1;2;2;2;1;0,5;3;1;1;6;1;4;32;0;0;1;0;0;0;1;2;1;136,3157636;TRAVAIL;DOMI;VP;26,119;28,37816667;2,708050201
95,25433333;125,4285;10207200;10207202;1020720212;102072021;78,56968;1;2;3;3;1;0,333333333;4;3;1;3;2;4;25;0;1;0;0;0;0;1;7;1;13,11410988;TRAVAIL;DOMI;VP;95,25433333;125,4285;2,079441542
35,88977167;30,26783333;10207700;10207702;1020770212;102077021;86,56719;1;2;4;4;2;0,5;4;1;1;6;1;4;53;0;0;0;0;1;0;2;2;1;120,5247757;TRAVAIL;DOMI;VP;35,88977167;30,26783333;3,583518938
151,0703333;93,94;10210800;10210801;1021080112;102108011;24,24044;1;0;2;2;2;1;4;1;7;6;1;4;66;0;0;0;0;0;1;1;4;1;7,411225131;TRAVAIL;DOMI;VP;151,0703333;93,94;3,891820298
151,0703333;93,94;10210800;10210801;1021080122;102108012;24,24044;1;0;2;2;2;1;4;1;7;6;1;4;66;0;0;0;0;0;1;1;4;1;7,411225131;TRAVAIL;DOMI;VP;151,0703333;93,94;3,891820298
10,344;16,859;10212100;10212101;1021210122;102121012;74,70862;1;1;1;1;1;1;4;1;1;6;1;2;50;0;0;0;0;1;0;1;1;1;373,274615;TRAVAIL;DOMI;TC;10,344;16,859;3,496507561
60,35033333;36,85783333;10212800;10212801;1021280112;102128011;89,72162;1;1;1;1;0;0;4;2;1;5;2;3;32;0;0;1;0;0;0;1;2;1;65,86227272;TRAVAIL;DOMI;TC;60,35033333;36,85783333;2,708050201
